zoneid,npixels,mean,min,max,sum,sampVar,popVar,sampSD,popSD
M331Ak,8594,12.1963468715427,0,73.4479370117188,104815.405014038,219.708586327401,219.683020981075,14.8225701660475,14.8217077619644
342Di,65513,0,0,0,0,0,0,0,0
M332Au,26263,12.3246442812556,0,60.4041709899902,323682.132758617,204.355753613415,204.347972485835,14.2953052997624,14.2950331404245
342Ad,288447,0.008021232734638,0,24.012300491333,2313.70051860809,0.072148976649688,0.072148726520629,0.268605615447049,0.268605149840112
M331As,29620,12.8300804114359,0,71.1562728881836,380026.981786728,175.900518813521,175.894580240975,13.2627492931715,13.262525409626
M332Fd,38180,10.6958450356411,0,63.8518562316895,408367.363460779,274.203408094262,274.196226234438,16.5590883835512,16.5588715265998
M331Ab,72792,27.1518500739009,0,88.9285354614258,1976437.47057939,442.188230966612,442.182156284903,21.0282721821507,21.0281277408357
342Ca,262051,0.154798111817924,0,51,40565,4.86720707725283,4.86718850374204,2.2061747612673,2.2061705518255
331Nc,104455,0.108856553350273,0,39.1013526916504,11370.6112802029,1.68026589448573,1.68024980845926,1.29625070664811,1.29624450180483
M332Enn,54386,14.5339304843556,0,80.7801818847656,790442.343322158,376.818181539291,376.811252951391,19.4118052107291,19.4116267466534
342He,173139,3.44752981140856,0,158,596901.864017487,138.841117898301,138.840315992792,11.7830860939866,11.7830520661156
M332Ep,20204,3.02992128367662,0,59.6508674621582,61216.5296154022,100.331508453522,100.326542530514,10.0165617081672,10.0163138194904
M331Aa,78822,32.7143351697325,0,95.4279022216797,2578609.32674864,519.158384651241,519.151798185728,22.7850473919025,22.7849028566226
M331Al,11572,5.59545686654554,0,77.9617538452148,64750.6268596649,179.623259124045,179.607736892873,13.4023602072189,13.4017811089748
342Bi,100474,0.472012659991641,0,91,47425,18.7576741970469,18.7574875052242,4.33101306821474,4.33099151525654
M331Ar,33971,18.6094425723914,0,86.1759719848633,632181.373626709,453.344587419368,453.331242372492,21.2918901795817,21.2915767939458
M332Fh,40833,15.2007518837489,0,67.4272003173828,620692.301669121,388.637465352156,388.627947622248,19.7138901628308,19.7136487648088
M331Ap,30672,31.8971019670966,0,85.3146286010742,978347.911534786,426.851230187565,426.837313545997,20.6603782682594,20.6600414700938
M332Er,84692,11.2517143460581,0,86.7679672241211,952930.191396356,307.517339805791,307.513708797669,17.5361723248202,17.536068795419
M332Ag,16500,27.2298970792366,0,86.2077178955078,449293.301807404,422.607514975602,422.581902398937,20.5574199493906,20.556796987832
M331Ah,44884,18.1513699856859,0,90.3801345825195,814706.090437531,470.643482320099,470.632996546052,21.6943191255245,21.6940774532141
M332Abb,12135,28.5361583368248,0,64.2346496582031,346286.28141737,387.048397837446,387.016502625428,19.6735456346192,19.672735006232
M332Aaa,9803,38.017695682895,0,66.3677368164062,372687.470779419,178.983277392389,178.965019381842,13.3784631924743,13.3777808093062
M332Eb,38294,7.67923027994539,0,62.7646980285645,294068.444340229,214.732854940786,214.727247460373,14.6537658962052,14.6535745625555
M332Af,12335,33.2061143616891,0,67.1008987426758,409597.420651436,130.376354585091,130.365784957641,11.4182465635092,11.4177837147864
M332At,26152,22.7874719642669,0,64.2357864379883,595937.966809511,263.06898452534,263.05892529528,16.2194014848064,16.2190913831595
M332Ez,49384,0.753084196431041,0,60.6577033996582,37190.3099565506,27.105113809568,27.1045649452839,5.20625717858502,5.20620446633475
M332Ad,12908,27.4367964622735,0,63.7194290161133,354154.168735027,185.362676238455,185.348315944355,13.6147962246394,13.6142688362011
331Gf,156562,2.33978007795218,0,40.1712226867676,366320.648564339,32.5320769984754,32.5318692080984,5.70368977053235,5.70367155506858
342Ch,98293,11.9058852369559,0,155,1170265.17759609,442.083048948174,442.078551343574,21.0257710666737,21.0256641118318
M332Ek,18117,12.7833643170944,0,62.7092590332031,231596.211332798,295.750447701485,295.734123230121,17.1973965384731,17.1969219114969
M332Ae,16674,23.8505708024243,0,65.0541152954102,397684.417559624,162.836797420682,162.827031509838,12.7607522278541,12.7603695679176
M331Ag,86453,25.665225241692,0,93.1991119384766,2218835.71781999,491.780531326062,491.774842911185,22.1761252550138,22.1759969992599
331Gd,28477,4.75573085019747,0,43.0400810241699,135428.947421074,64.7673145989669,64.7650402261538,8.04781427463177,8.04767296963251
M331Ba,121529,8.67685190241695,0,88.8516311645508,1054489.13484883,219.132327469324,219.130524341449,14.80311884264,14.8030579388669
M332Ay,27761,19.8795025618766,0,59.7412757873535,551874.870620251,251.26198948231,251.252938583946,15.8512456760442,15.8509601786121
M332Fb,26168,19.79713200496,0,65.2996444702148,518051.350305796,359.085897344512,359.072175015815,18.9495619301479,18.9491998515984
342Fj,21501,0.154575843144824,0,33.4106178283691,3323.53520345688,2.46250498956748,2.46239045977865,1.56923707245511,1.5692005798427
