fips,province,percent
4001,313,0.8332583325833259
4001,M313,0.16674166741667418
4003,321,1
4005,313,0.6533634663653364
4005,322,0.12790872091279087
4005,M313,0.21872781272187275
4007,313,0.92319923199232
4007,321,0.012410124101241014
4007,322,0.024370243702437025
4007,M313,0.04002040020400204
4009,313,0.2235955280894382
4009,321,0.6617467650646986
4009,M313,0.11465770684586309
4011,313,0.020499999999999994
4011,321,0.25243
4011,M313,0.72707
4012,322,1
4013,313,0.049319506804931953
4013,322,0.950680493195068
4015,313,0.34873
4015,322,0.6512699999999999
4017,313,0.8182781827818278
4017,M313,0.1817218172181722
4019,321,0.24277741465131483
4019,322,0.7572225853486851
4021,313,0.039239607603923955
4021,321,0.23606763932360675
4021,322,0.7246927530724693
4023,321,1
4025,313,0.6142577148457031
4025,322,0.3523229535409292
4025,M313,0.03341933161336773
4027,322,1
8001,331,1
8003,331,0.91229
8003,M331,0.08771000000000001
8005,331,1
8007,313,0.68568
8007,M331,0.31432
8009,331,1
8011,331,1
8013,331,0.4025159748402516
8013,M331,0.5974840251597484
8014,331,1
8015,331,4e-5
8015,M331,0.99996
8017,331,1
8019,M331,1
8021,331,0.55211
8021,M331,0.44789
8023,331,0.66187
8023,M331,0.33813000000000004
8025,331,1
8027,331,0.01829
8027,M331,0.9817100000000001
8029,341,0.40828591714082857
8029,M331,0.5917140828591714
8031,331,1
8033,313,0.46921
8033,341,0.32956
8033,M331,0.20123000000000002
8035,331,0.74048
8035,M331,0.25952
8037,M331,1
8039,331,1
8041,331,0.896121038789612
8041,M331,0.1038789612103879
8043,331,0.21704
8043,M331,0.7829599999999999
8045,341,0.011309886901130987
8045,M331,0.6027939720602794
8045,M341,0.38589614103858966
8047,M331,1
8049,M331,1
8051,M331,1
8053,313,0.027489725102748972
8053,M331,0.9725102748972511
8055,331,0.35069350693506934
8055,M331,0.6493064930649306
8057,M331,1
8059,331,0.29614999999999997
8059,M331,0.7038500000000001
8061,331,1
8063,331,1
8065,M331,1
8067,313,0.59084409155908435
8067,M331,0.40915590844091554
8069,331,0.27396
8069,342,0.008060000000000001
8069,M331,0.7179800000000001
8071,331,0.7875721242787571
8071,M331,0.2124278757212428
8073,331,1
8075,331,1
8077,341,0.6284562845628456
8077,M331,0.28705287052870526
8077,M341,0.08449084490844909
8079,313,0.037700000000000004
8079,M331,0.9623
8081,341,0.04784952150478495
8081,342,0.6003539964600354
8081,M331,0.34136658633413663
8081,M341,0.010429895701042989
8083,313,0.9229600000000001
8083,M331,0.07704
8085,341,0.8544785447854479
8085,M331,0.14552145521455215
8087,331,1
8089,331,1
8091,341,0.26131
8091,M331,0.73869
8093,M331,1
8095,331,1
8097,M331,1
8099,331,1
8101,331,0.95646
8101,M331,0.04354
8103,341,0.1050589494105059
8103,342,8.699913000869992e-4
8103,M331,0.3271667283327167
8103,M341,0.5669043309566905
8105,331,0.51972
8105,M331,0.48028
8107,342,0.03925
8107,M331,0.96075
8109,331,0.32138
8109,M331,0.67862
8111,M331,1
8113,313,0.08998999999999999
8113,341,0.64359
8113,M331,0.26641999999999993
8115,331,1
8117,M331,1
8119,M331,1
8121,331,1
8123,331,1
8125,331,1
16001,342,0.9231699999999999
16001,M332,0.07683
16003,342,0.08512914870851292
16003,M332,0.914870851291487
16005,342,0.1413
16005,M331,0.8587
16007,342,0.32815
16007,M331,0.6718500000000001
16009,331,0.18337
16009,M333,0.81663
16011,342,0.9950100000000001
16011,M331,0.00499
16013,342,0.44723
16013,M332,0.55277
16015,342,1.000020000400008e-5
16015,M332,0.9999899997999959
16017,M333,1
16019,342,0.4032440324403244
16019,M331,0.5967559675596756
16021,M333,1
16023,342,0.4822748227482275
16023,M332,0.5177251772517725
16025,342,0.42103999999999997
16025,M332,0.57896
16027,342,1
16029,342,0.4584445844458445
16029,M331,0.5415554155541555
16031,342,1
16033,342,0.31994
16033,M332,0.68006
16035,331,0.17704822951770482
16035,M333,0.8229517704822952
16037,M332,1
16039,342,0.5111851118511186
16039,M332,0.4888148881488815
16041,342,0.012279877201227989
16041,M331,0.9877201227987721
16043,342,0.3891561084389156
16043,M331,0.5504644953550464
16043,M332,0.06037939620603793
16045,342,0.3359433594335944
16045,M332,0.6640566405664057
16047,342,1
16049,331,0.07891
16049,M332,0.8632900000000001
16049,M333,0.05779999999999999
16051,342,0.9891198911989121
16051,M331,0.0060400604006040064
16051,M332,0.004840048400484005
16053,342,1
16055,331,0.07150071500715006
16055,M333,0.9284992849928498
16057,331,0.50088
16057,M333,0.49912000000000006
16059,M332,1
16061,331,0.92608
16061,M332,0.07392
16063,342,1
16065,342,0.8427315726842731
16065,M331,0.15726842731572685
16067,342,1
16069,331,0.81625
16069,M332,0.1815
16069,M333,0.0022500000000000003
16071,342,0.8269717302826972
16071,M331,0.17302826971730284
16073,341,0.007899999999999999
16073,342,0.9921
16075,342,0.91716
16075,M332,0.08284000000000001
16077,342,0.982169821698217
16077,M331,0.017830178301783017
16079,M333,1
16081,342,0.57923
16081,M331,0.42077
16083,341,0.11869999999999999
16083,342,0.8813
16085,M332,1
16087,342,0.44162
16087,M332,0.55838
30001,M332,1
30003,331,0.87548
30003,342,0.0018599999999999999
30003,M331,0.12266
30005,331,1
30007,M332,1
30009,331,0.44223442234422344
30009,342,0.1966919669196692
30009,M331,0.3610736107361074
30011,331,1
30013,331,0.64586
30013,M332,0.35414
30015,331,1
30017,331,1
30019,331,1
30021,331,1
30023,M332,1
30025,331,1
30027,331,0.7602500000000001
30027,M332,0.23975000000000002
30029,M333,1
30031,M331,0.44998449984499844
30031,M332,0.5500155001550016
30033,331,1
30035,331,0.7098761727580067
30035,M333,0.2901238272419932
30037,331,0.9158799999999999
30037,M332,0.08412
30039,M332,1
30041,331,1
30043,M332,1
30045,331,0.5547255472554726
30045,M332,0.4452744527445275
30047,M332,0.00775
30047,M333,0.99225
30049,331,0.21105000000000002
30049,M332,0.5660000000000001
30049,M333,0.22295
30051,331,1
30053,M333,1
30055,331,1
30057,M331,0.17912820871791285
30057,M332,0.8208717912820872
30059,331,0.016880168801688016
30059,M332,0.9831198311983119
30061,M332,4.7e-4
30061,M333,0.99953
30063,M332,0.5567044329556704
30063,M333,0.44329556704432954
30065,331,0.99907
30065,M332,9.299999999999998e-4
30067,331,0.0014299857001429986
30067,M331,0.6454335456645434
30067,M332,0.35313646863531367
30069,331,1
30071,331,1
30073,331,0.8629486294862949
30073,M333,0.13705137051370514
30075,331,1
30077,M332,0.8203400000000001
30077,M333,0.17966000000000001
30079,331,1
30081,M332,1
30081,M333,0
30083,331,1
30085,331,1
30087,331,1
30089,M333,1
30091,331,1
30093,M332,1
30095,331,0.74259
30095,M331,0.25740999999999997
30097,331,0.5113248867511325
30097,M331,0.25107748922510775
30097,M332,0.23759762402375978
30099,331,0.8097
30099,M333,0.19030000000000002
30101,331,1
30103,331,1
30105,331,1
30107,331,0.8125918740812592
30107,M332,0.1874081259187408
30109,331,1
30111,331,1
32001,341,0.7301446028920578
32001,342,0.03114062281245625
32001,M341,0.23871477429548593
32003,322,1
32005,341,0.8718
32005,M261,0.1282
32007,341,0.4053740537405374
32007,342,0.1749017490174902
32007,M341,0.41972419724197246
32009,322,0.0034100000000000007
32009,341,0.9965900000000001
32011,341,0.11279112791127911
32011,M341,0.8872088720887209
32013,341,0.6092439075609244
32013,342,0.3907560924390756
32015,341,0.24455244552445524
32015,M341,0.7554475544755448
32017,322,0.25677
32017,341,0.51418
32017,M341,0.22905
32019,341,0.996849968499685
32019,342,0.003150031500315003
32021,341,1
32023,322,0.1477570448591028
32023,341,0.6501669966600667
32023,M341,0.20207595848083038
32027,341,0.9224392243922439
32027,342,0.07751077510775108
32027,M341,5.000050000500005e-5
32029,341,0.98875
32029,342,0.011250000000000001
32031,341,0.13514
32031,342,0.8295399999999999
32031,M261,0.03532
32033,341,0.02182
32033,M341,0.9781799999999999
32510,341,0.7713577135771357
32510,M261,0.22864228642286424
35001,313,0.03717
35001,315,0.6542
35001,M313,0.30863
35003,313,0.27554275542755424
35003,M313,0.7244572445724458
35005,315,0.94464
35005,M313,0.05535999999999999
35006,313,0.96056
35006,315,0.03944
35007,331,0.57321
35007,M331,0.42679
35009,315,1
35011,315,1
35013,321,0.9110233616292005
35013,M313,0.08897663837079947
35015,315,0.4126758732412676
35015,321,0.5311446885531145
35015,M313,0.056179438205617944
35017,321,0.2776272237277627
35017,M313,0.7223727762722373
35019,315,0.8055500000000001
35019,M313,0.19445
35021,315,0.57952
35021,331,0.42048
35023,321,0.9761126680763665
35023,M313,0.023887331923633386
35025,315,0.62053
35025,321,0.37947000000000003
35027,315,0.38438
35027,321,0.1235
35027,M313,0.49211999999999995
35028,M313,7.000000000000001e-5
35028,M331,0.99993
35029,321,0.988770359368571
35029,M313,0.011229640631428943
35031,313,1
35033,315,0.07717
35033,331,0.31309000000000003
35033,M313,0.26062
35033,M331,0.34912
35035,315,0.07422925770742293
35035,321,0.5834041659583404
35035,M313,0.3423665763342367
35037,315,1
35039,313,0.50039
35039,331,0.09157
35039,M331,0.40804
35041,315,1
35043,313,0.40513
35043,315,0.31345999999999996
35043,M313,0.06761
35043,M331,0.2138
35045,313,1
35047,315,0.49036
35047,331,0.0011899999999999999
35047,M313,0.32886000000000004
35047,M331,0.17959
35049,315,0.27959720402795973
35049,331,0.023809761902380974
35049,M313,0.4877551224487755
35049,M331,0.20883791162088378
35051,321,0.64106
35051,M313,0.35894
35053,313,0.06311063110631107
35053,315,0.13317133171331713
35053,321,0.35132351323513233
35053,M313,0.45239452394523944
35055,331,0.48723999999999995
35055,M331,0.51276
35057,315,0.58904
35057,321,0.00614
35057,M313,0.40482
35059,315,0.21446
35059,331,0.78554
35061,313,0.1095310953109531
35061,315,0.8245982459824599
35061,M313,0.06587065870658707
49001,341,0.9199291992919929
49001,M341,0.08007080070800707
49003,341,0.5929359293592936
49003,342,0.3861138611386114
49003,M331,0.020950209502095023
49005,M331,1
49007,341,0.3297367026329736
49007,M341,0.6702632973670263
49009,342,0.08903
49009,M331,0.91097
49011,341,0.86871
49011,M331,0.13129
49013,341,0.26098739012609873
49013,M331,0.5019449805501944
49013,M341,0.23706762932370676
49015,341,0.83317
49015,M341,0.16683
49017,313,0.25037
49017,341,0.36127000000000004
49017,M341,0.38836
49019,341,0.6337963379633796
49019,M341,0.36620366203662036
49021,313,0.00525
49021,341,0.7842699999999999
49021,M341,0.21048000000000003
49023,341,0.8675700000000001
49023,M331,0.02624
49023,M341,0.10618999999999999
49025,313,0.916150838491615
49025,341,0.008339916600833991
49025,M341,0.07550924490755093
49027,341,0.9321293212932129
49027,M341,0.06787067870678706
49029,342,0.013940139401394014
49029,M331,0.986059860598606
49031,M341,1
49033,342,0.8751099999999999
49033,M331,0.12488999999999999
49035,341,0.71292
49035,M331,0.28708
49037,313,0.55191
49037,341,0.44809
49039,341,0.00307
49039,M331,0.10914
49039,M341,0.88779
49041,341,0.052648947021059586
49041,M341,0.9473510529789404
49043,342,0.053448931021379584
49043,M331,0.9465510689786204
49045,341,0.94539945399454
49045,M341,0.054600546005460056
49047,341,0.43473434734347344
49047,M331,0.2714427144271443
49047,M341,0.2938229382293823
49049,341,0.4970749707497075
49049,M331,0.39042390423904244
49049,M341,0.11250112501125012
49051,341,0.01085
49051,M331,0.8556199999999999
49051,M341,0.13353
49053,313,0.24306
49053,322,0.31292
49053,341,0.3975
49053,M341,0.04652
49055,341,0.7752177521775219
49055,M341,0.22478224782247824
49057,341,0.43854
49057,M331,0.56146
56001,331,0.004330043300433004
56001,342,0.5195851958519585
56001,M331,0.4760847608476085
56003,342,0.7303000000000001
56003,M331,0.2697
56005,331,1
56007,342,0.8068842065261957
56007,M331,0.1931157934738042
56009,331,0.79551
56009,M331,0.20449
56011,331,0.48211
56011,M334,0.51789
56013,342,0.7425325746742533
56013,M331,0.25746742532574673
56015,331,1
56017,342,0.75689
56017,M331,0.24311
56019,331,0.7446699999999999
56019,M331,0.25533
56021,331,0.8383616163838361
56021,M331,0.1616383836161638
56023,342,0.5049150491504916
56023,M331,0.49508495084950854
56025,331,0.4724647246472464
56025,342,0.4262142621426214
56025,M331,0.10132101321013211
56027,331,1
56029,342,0.3245
56029,M331,0.6755
56031,331,0.8875
56031,M331,0.1125
56033,331,0.73186
56033,M331,0.26814
56035,342,0.57794
56035,M331,0.42206000000000005
56037,342,0.9982500000000001
56037,M331,0.0017499999999999998
56039,342,0.009399999999999999
56039,M331,0.9906
56041,342,0.91797
56041,M331,0.08202999999999999
56043,342,0.8320799999999999
56043,M331,0.16792
56045,331,0.8271817281827182
56045,M334,0.17281827181728185
